,AU1_r,AU2_r,AU3_r,AU4_r,AU5_r,TI_r,TY,AU1,AU2,AU3,AU4,AU5,AU6,AU7,AU8,AU9,AU10,TI,JO,VL,IS,SN,DO,SP,EP
0,"Altschuld, J. W.","Kumar, D. D.",,,,An Evaluation Model for Programs in Science Education,JOUR,"Altschuld, James W.","Kumar, David",,,,,,,,,Program evaluation in science education: The model perspective,New Directions for Program Evaluation,1995,65,0164-7989,https://doi.org/10.1002/ev.1699,5,17
1,"Altschuld, J. W.","Thomas, P. M.",J. W. Altschuld,,,The Teaching of Evaluation: 25 Years of Change and Growth,JOUR,"Altschuld, James W.","Kumar, David",,,,,,,,,Program evaluation in science education: The model perspective,New Directions for Program Evaluation,1995,65,0164-7989,https://doi.org/10.1002/ev.1699,5,17
2,"Bennett, C. F.",,,,,A Hierarchy of Program Evaluation Applied to Volunteer Leadership Development,JOUR,"Altschuld, James W.","Kumar, David",,,,,,,,,Program evaluation in science education: The model perspective,New Directions for Program Evaluation,1995,65,0164-7989,https://doi.org/10.1002/ev.1699,5,17
3,"Borich, G. D.",,,,,Evaluation Models: A Question of Purpose Not Terminology,JOUR,"Altschuld, James W.","Kumar, David",,,,,,,,,Program evaluation in science education: The model perspective,New Directions for Program Evaluation,1995,65,0164-7989,https://doi.org/10.1002/ev.1699,5,17
4,"Brinkerhoff, R. O.",,,,,Achieving Results from Training,JOUR,"Altschuld, James W.","Kumar, David",,,,,,,,,Program evaluation in science education: The model perspective,New Directions for Program Evaluation,1995,65,0164-7989,https://doi.org/10.1002/ev.1699,5,17
5,"Burry-Stock, J. A.","Oxford, R. L.",,,,Expert Science Teaching Educational Evaluation Model (ESTEEM): Excellence in Science Teaching for Professional Development,JOUR,"Altschuld, James W.","Kumar, David",,,,,,,,,Program evaluation in science education: The model perspective,New Directions for Program Evaluation,1995,65,0164-7989,https://doi.org/10.1002/ev.1699,5,17
6,"Cheu, J.","Iozzi, L.","Maul, J. P.","Henkin, G.",,The Socio-Scientific Reasoning Model: Instruments for Evaluation,JOUR,"Altschuld, James W.","Kumar, David",,,,,,,,,Program evaluation in science education: The model perspective,New Directions for Program Evaluation,1995,65,0164-7989,https://doi.org/10.1002/ev.1699,5,17
7,"Cronbach, L. J.",,,,,Course Improvement Through Evaluation,JOUR,"Altschuld, James W.","Kumar, David",,,,,,,,,Program evaluation in science education: The model perspective,New Directions for Program Evaluation,1995,65,0164-7989,https://doi.org/10.1002/ev.1699,5,17
8,"Cronbach, L. J.",,,,,Toward Reform of Program Evaluation,JOUR,"Altschuld, James W.","Kumar, David",,,,,,,,,Program evaluation in science education: The model perspective,New Directions for Program Evaluation,1995,65,0164-7989,https://doi.org/10.1002/ev.1699,5,17
9,"Espejo, M.","Good, R.","Westmeyer, P.",,,Evaluation of a Child-Structured Science Curriculum Using the Intellectual Models of Piaget and Guilford,JOUR,"Altschuld, James W.","Kumar, David",,,,,,,,,Program evaluation in science education: The model perspective,New Directions for Program Evaluation,1995,65,0164-7989,https://doi.org/10.1002/ev.1699,5,17
10,"Exline, J. D.",,,,,Virginia's Long Range Plan for Science Education,JOUR,"Altschuld, James W.","Kumar, David",,,,,,,,,Program evaluation in science education: The model perspective,New Directions for Program Evaluation,1995,65,0164-7989,https://doi.org/10.1002/ev.1699,5,17
