,AU1_r,AU2_r,AU3_r,AU4_r,AU5_r,TI_r,TY,AU1,AU2,AU3,AU4,AU5,AU6,AU7,AU8,AU9,AU10,TI,JO,VL,IS,SN,DO,SP,EP
0,"Bruner, C.",,,,,Going to Scale: Challenges in Service Design,JOUR,"Konrad, Ellen L.",,,,,,,,,,A multidimensional framework for conceptualizing human services integration initiatives,New Directions for Evaluation,1996,69,1097-6736,https://doi.org/10.1002/ev.1024,5,19
1,,,,,,The Partnership for Children: A Re-Design of the System for Arizona's Children and Families,JOUR,"Konrad, Ellen L.",,,,,,,,,,A multidimensional framework for conceptualizing human services integration initiatives,New Directions for Evaluation,1996,69,1097-6736,https://doi.org/10.1002/ev.1024,5,19
2,"Cohen, E.","Ooms, T.",,,,Data Integration and Evaluation: Essential Components of Family-Centered Systems Reform,JOUR,"Konrad, Ellen L.",,,,,,,,,,A multidimensional framework for conceptualizing human services integration initiatives,New Directions for Evaluation,1996,69,1097-6736,https://doi.org/10.1002/ev.1024,5,19
3,"Crowson, R. L.","Boyd, W. L.",,,,"Coordination Among Schools, Families and Communities: Prospects for Educational Reform",JOUR,"Konrad, Ellen L.",,,,,,,,,,A multidimensional framework for conceptualizing human services integration initiatives,New Directions for Evaluation,1996,69,1097-6736,https://doi.org/10.1002/ev.1024,5,19
4,"Farrow, F.",,,,,Going to Scale: The Importance of Financing,JOUR,"Konrad, Ellen L.",,,,,,,,,,A multidimensional framework for conceptualizing human services integration initiatives,New Directions for Evaluation,1996,69,1097-6736,https://doi.org/10.1002/ev.1024,5,19
5,"Guthrie, L. F.","Scott, B. L.","Guthrie, G. P.","Aronson, J. Z.",,Portraits of Interagency Collaboration,JOUR,"Konrad, Ellen L.",,,,,,,,,,A multidimensional framework for conceptualizing human services integration initiatives,New Directions for Evaluation,1996,69,1097-6736,https://doi.org/10.1002/ev.1024,5,19
6,"Kagan, S. L.",,,,,Integrating Services for Children and Families: Understanding the Past to Shape the Future,JOUR,"Konrad, Ellen L.",,,,,,,,,,A multidimensional framework for conceptualizing human services integration initiatives,New Directions for Evaluation,1996,69,1097-6736,https://doi.org/10.1002/ev.1024,5,19
7,"Kagan, S. L.","Goffin, S. G.","Golub, S. A.","Pritchard, E.",,Toward Systemic Reform: Service Integration for Young Children and Their Families,JOUR,"Konrad, Ellen L.",,,,,,,,,,A multidimensional framework for conceptualizing human services integration initiatives,New Directions for Evaluation,1996,69,1097-6736,https://doi.org/10.1002/ev.1024,5,19
8,"Kahn, A. J.","Kamerman, S. B.",,,,"Integrating Services Integration: An Overview of Initiatives, Issues, and Possibilities",JOUR,"Konrad, Ellen L.",,,,,,,,,,A multidimensional framework for conceptualizing human services integration initiatives,New Directions for Evaluation,1996,69,1097-6736,https://doi.org/10.1002/ev.1024,5,19
9,"Knapp, M. S.",,,,,"How Shall We Study Comprehensive, Collaborative Services for Children and Families?",JOUR,"Konrad, Ellen L.",,,,,,,,,,A multidimensional framework for conceptualizing human services integration initiatives,New Directions for Evaluation,1996,69,1097-6736,https://doi.org/10.1002/ev.1024,5,19
